protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G01050.1	0.394746570488424	0.889994222765434	-2.15232308043966	-0.977262531075402	-0.647388179278336	17.2240927163745	17.8116229910566	17.9765601669552
AT1G01080.2	0.60441586525803	0.895801605067968	0.354187006414994	0.354187006414994	0.354187006414994	18.6501470825682	18.6501470825682	18.6501470825682
AT1G01090.1	0.839265705506811	0.942790345764359	0.137418035177136	0.137418035177136	0.137418035177136	18.6601178692152	18.6601178692152	18.6601178692152
AT1G01100.1	0.545378084664637	0.895801605067968	-1.30110725610222	0.220513205355052	2.12450687711191	14.8691116579499	15.9161247005619	16.4587732060679
AT1G01320.1	0.00342594948074968	0.0858823244833387	3.68386403089065	4.39993588353438	5.461042268445	17.9277598203234	18.4583130127787	18.8163489391006
AT1G01610.1	0.865745463780298	0.950166414477282	0.10445298356107	0.10445298356107	0.10445298356107	17.6601007615892	17.6601007615892	17.6601007615892
AT1G01620.1	0.84136362321233	0.943041125358157	-1.01738516588227	-0.188406352567654	0.168722841464803	17.9308170300714	18.3453064367287	18.5238710337449
AT1G01790.1	0.809035319115198	0.928936292145678	-0.142444518323413	-0.142444518323413	-0.142444518323413	18.4567388738281	18.4567388738281	18.4567388738281
AT1G01800.1	0.507072498498408	0.895801605067968	0.334317806079494	0.625453028469662	1.52217557431744	17.0244262948118	17.4727875677357	17.6183551789307
AT1G01820.1	0.0490260646465919	0.519959127934528	-0.298767198832044	1.48136649596988	3.85760540772312	14.0944333484513	15.1665264225194	16.0972394485369
AT1G01910.1	0.17064236336284	0.812071288880206	-0.92170391073751	0.784749986338742	2.23372741545828	14.6478125374654	15.420397367902	16.0890439087853
AT1G02080.1	0.518255017417654	0.895801605067968	-2.15441139881451	-0.739435786947739	0.394441501226002	15.5172781665035	16.1105448399562	16.815886549881
AT1G02130.1	0.834587992688789	0.939816800342761	0.161542618294859	0.161542618294859	0.161542618294859	17.9266191724587	17.9266191724587	17.9266191724587
AT1G02140.1	0.192379785334423	0.815245159955537	1.21080778061702	1.21080778061702	1.21080778061702	18.3484247755417	18.3484247755417	18.3484247755417
AT1G02280.1	0.916191969728438	0.968897164535443	-0.0555606180634495	-0.0555606180634495	-0.0555606180634495	18.3939035626446	18.3939035626446	18.3939035626446
AT1G02475.1	0.692231851090079	0.899031180103909	-0.279107494219615	-0.279107494219615	-0.279107494219615	18.6097998872657	18.6097998872657	18.6097998872657
AT1G02500.1	0.0962969203065384	0.685115947255053	1.36179108986053	1.36179108986053	1.36179108986053	21.1288274364368	21.1288274364368	21.1288274364368
AT1G02560.1	0.980218830530255	0.990045053336608	-0.0168797066187578	-0.0168797066187578	-0.0168797066187578	19.1230215981482	19.1230215981482	19.1230215981482
AT1G02780.1	0.560746191007009	0.895801605067968	0.318069282624439	0.318069282624439	0.318069282624439	21.3889522586814	21.3889522586814	21.3889522586814
AT1G02840.1	0.609474605317183	0.895801605067968	-1.68249952915159	-0.367479127627392	0.970363828825917	15.1974671859476	15.992770967808	16.6832960416508
AT1G03090.2	0.675342559319632	0.898940373537971	-0.366982869862507	-0.366982869862507	-0.366982869862507	18.0749571443559	18.0749571443559	18.0749571443559
AT1G03220.1	0.787139753014604	0.921183180451043	-0.173962392500665	-0.173962392500665	-0.173962392500665	19.3825116733967	19.3825116733967	19.3825116733967
AT1G03230.1	0.884013878275954	0.953611058912838	0.0979440681077661	0.0979440681077661	0.0979440681077661	21.0265986282244	21.0265986282244	21.0265986282244
AT1G03310.1	0.137199715115278	0.765711687855209	-2.61341461408621	-0.91490203100469	0.522033553875466	14.1074505326165	15.1927861821534	15.8914405085149
AT1G03475.1	0.723493948254749	0.904569349884252	-0.189553258490311	-0.189553258490311	-0.189553258490311	20.3645452967172	20.3645452967172	20.3645452967172
AT1G03600.1	0.327254038399496	0.875144185916349	-0.984556557294822	-0.984556557294822	-0.984556557294822	18.9238587124848	18.9238587124848	18.9238587124848
AT1G03630.1	0.566975628709843	0.895801605067968	0.394426922878958	0.394426922878958	0.394426922878958	19.4923623634124	19.4923623634124	19.4923623634124
AT1G03680.1	0.342261300786689	0.876058279876143	-2.10947282210751	-1.17121428611195	-0.904085365131316	18.244956927221	18.7140861952188	18.8476506557091
AT1G03860.1	0.497699567918127	0.895801605067968	-1.34877468224872	0.3208968627098	2.48098614612685	14.793850743963	15.6967780674011	16.6386321210448
AT1G04100.1	0.312768774363196	0.875144185916349	-1.51695648477823	-0.269714292170023	1.73739238223243	12.9462475848293	14.6144601963605	15.6317614030338
AT1G04170.1	0.918013943061191	0.968965913106693	0.085554314834012	0.085554314834012	0.085554314834012	20.3247643938226	20.3247643938226	20.3247643938226
AT1G04270.1	0.590254913926038	0.895801605067968	0.427337641720513	0.427337641720513	0.427337641720513	20.3986388245832	20.3986388245832	20.3986388245832
AT1G04410.1	0.305979351015409	0.875144185916349	0.594169742033736	0.594169742033736	0.594169742033736	24.0749441340173	24.0749441340173	24.0749441340173
AT1G04420.1	0.562303137259318	0.895801605067968	-0.300705031039417	-0.300705031039417	-0.300705031039417	17.9843863739683	17.9843863739683	17.9843863739683
AT1G04510.1	0.064604367292464	0.594189380140965	1.05119348437471	2.21436311212073	3.18814352491486	16.3336774567617	16.8205676631588	17.4021524770318
AT1G04690.1	0.500498607122043	0.895801605067968	0.314309120755976	0.98596609351077	1.48894127733725	17.4858370082242	17.7373246001374	18.0731530865148
AT1G04750.1	0.822710854055165	0.933436535003747	0.146659442059881	0.146659442059881	0.146659442059881	18.5683610876977	18.5683610876977	18.5683610876977
AT1G05010.1	0.297033849259645	0.875144185916349	-0.844915443388137	1.00292622769849	2.73048838071781	15.8075268385387	16.2699830181745	16.8305235161803
AT1G05140.1	0.943024810441937	0.978510221935518	0.0597477516182987	0.0597477516182987	0.0597477516182987	20.0364681186226	20.0364681186226	20.0364681186226
AT1G05190.1	0.63085792477633	0.895801605067968	0.308066344240793	0.308066344240793	0.308066344240793	20.0706254025855	20.0706254025855	20.0706254025855
AT1G05500.1	0.57151713880217	0.895801605067968	-2.61687220940232	-0.444461749178662	1.02334205927891	14.7590558914266	16.2102790352477	16.7085989591712
AT1G05520.1	0.0948699517177628	0.685115947255053	-1.2036068237457	1.0467202999011	2.92736713079294	13.9991300282928	14.9205999153835	15.7249607837606
AT1G05560.2	0.245613250519266	0.854973616954757	0.717187364102838	0.717187364102838	0.717187364102838	18.3652477411913	18.3652477411913	18.3652477411913
