protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G01900.1	0.349478320859512	0.552244950585922	0.445285393378719	1.31964600741435	2.70733227633977	13.3576991855731	14.6309931220966	15.2679891927855
AT1G02500.1	0.0665468197912588	0.271430656482449	3.19501047457529	3.4320956628917	4.82838721362647	17.3841470293269	18.0822928046943	18.2008353988525
AT1G02780.1	0.27390030810605	0.497887120429677	1.28955174469106	2.28221137534618	2.68054736761848	18.9388616237266	19.1380296198627	19.6343594351903
AT1G02840.1	0.0610501511400188	0.268623308486272	1.94708129658501	3.87123354195058	5.30458178985238	16.3273888659804	17.0440629899313	18.0061391126141
AT1G03130.1	0.217448973579386	0.446077842972621	-3.05342556609286	-1.96039083047654	-1.31407724817587	16.7188646624551	17.2653820302632	17.5885388214136
AT1G03140.1	0.0849397213494305	0.295741064027738	-1.23771900724179	2.34198328463393	3.93784664725619	13.6673822106879	14.6126518045184	15.4418252540244
AT1G03230.1	0.378389073338013	0.574057947763754	0.0545543251930157	1.98676464496199	2.64620263801165	16.0044746123664	16.3341936088912	17.3002987687757
AT1G03880.1	0.0232943212606683	0.197736089490274	1.12386272507358	3.63604972790847	4.82966008378875	14.8018385050661	15.9511419372353	16.1305664096256
AT1G03910.2	0.170848561637591	0.402084832729875	-2.3424205330126	-2.0284786754566	3.0054550598641	13.8235900433032	14.8470350016672	15.8597766289473
AT1G04080.3	0.276714746231243	0.500721921751773	0.406885174177612	1.06157701656158	2.96392852402722	15.3531725879999	16.1529731818323	16.8244944326632
AT1G04170.1	0.13921074731518	0.368881627003513	0.747360914072441	1.76522104420209	2.45649011670012	14.2986907212789	14.8148804252413	15.3647765136479
AT1G04270.1	0.691230477945172	0.747428077778113	0.533962755245242	0.533962755245242	0.533962755245242	20.0543296677174	20.0543296677174	20.0543296677174
AT1G04410.1	0.301073831125234	0.515157874627491	-1.93109437867818	-1.24163228436651	-1.03731831239256	17.7017479798273	18.0464790269831	18.1486360129701
AT1G04510.1	0.0186180311263603	0.176999149131338	2.52729813883208	2.95901960775846	5.04066083818645	15.6683504571693	16.7091710723833	16.9250318068465
AT1G05190.1	0.334616890317285	0.539442986814533	0.987122265333764	1.49156281537778	3.17334332180561	17.5891361070556	18.4300263602695	18.6822466352915
AT1G06220.1	0.231422701132792	0.462845402265585	0.93412263611028	1.83253367361734	2.47883761300433	15.5917158384137	15.9148678081072	16.3640733268607
AT1G06680.1	0.70355225226766	0.753603620549789	-0.929399895985454	0.239684724423076	1.11910379644489	15.1436732384963	16.0043586780982	16.4180315549858
AT1G06960.1	0.377669819652035	0.574057947763754	-0.539349339043111	0.788459987102618	2.79890953836769	13.8228476423866	14.1434259318671	15.5194481092249
