protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G03220.1	0	1	1	-2.54803094713486	-1.65883693876361	-0.674743727730836	17.6271140305823	18.072914436276	18.5587436751678
AT1G03230.1	0	1	1	-1.42429271695326	-1.00246000809755	-0.326952224196937	16.1687186435005	16.3324339238211	16.6752105379026
AT1G04410.1	0	1	1	-0.426411544641578	-0.139630057755641	0.066823660682904	16.2493481029201	16.3498715239126	16.5307843862708
AT1G04510.1	0.078	1	1	1.22972011400158	3.86925554171708	7.38857713712678	12.0221870045175	13.7893781083885	15.095855786723
AT1G04860.1	0.576	8.60116544615005e-07	3.31144869676777e-05	-6.92787952700922	-4.41848142757733	-2.73381084642346	13.9550469250721	15.1661318305387	16.0465045424298
AT1G06220.1	0.131	1	1	1.51182095283806	4.07936518675592	7.61996418346725	12.2724207338777	14.0697660209154	15.3449003792269
AT1G06680.1	0.073	1	1	2.01371978252726	4.42201250705927	8.35508763983124	12.2625248419263	14.2124772593547	15.4407982493226
AT1G09340.2	0	1	1	-0.200145669004329	-0.0162297560947534	0.196530613406661	16.9155171160248	17.004304749938	17.0587432301622
AT1G09760.1	0.107	1	1	1.81683062891597	4.40866881183728	8.00364977898645	12.250300035139	14.0752255150792	15.3043719982858
AT1G11650.2	0.138	1	1	1.72269080131184	4.33525203183182	8.08019355049932	12.169218663154	14.0337621147522	15.3148133605908
AT1G12900.5	0	1	1	-1.70172000201903	-0.385858102053199	0.509909380407376	16.8602325211	17.2820611809338	17.8864917434188
AT1G12920.1	0.067	1	1	1.67744155117497	4.148870078721	7.83714003853896	12.2979973178624	14.0943295387035	15.3310193866617
AT1G13190.1	0.044	1	1	0.952525835011944	3.44060339061349	7.17991805009409	11.8559113090626	13.6962694028358	14.9355185428279
AT1G15750.1	0.148	1	1	1.94327418521234	4.5408977615554	8.41804877634815	12.277823224588	14.1682465683402	15.4657171010667
AT1G15820.1	0	1	1	0.40334832061295	0.563236604623575	0.736764793827377	17.5856911698337	17.6150099296198	17.6456426725276
AT1G16030.1	0	1	1	-4.31217545300378	-3.96881420663662	-3.46859727877043	17.6360671772892	17.8192299941259	18.0251496797508
AT1G20010.1	0	1	1	-1.1200624914161	-0.618351847414903	-0.119039586658419	17.6612006208255	17.8807475432982	18.1130815535859
AT1G20620.6	0	1	1	-0.952943065213858	-0.794796144440863	-0.621744645787609	19.5253506313163	19.5429330426222	19.5682492354812
AT1G20960.1	0.141	1	1	1.76837995529484	4.29889912956575	8.10594130865761	12.2072273433537	14.1161324064608	15.36513984434
AT1G23130.1	0.242	1	1	2.46294478251909	4.80132428881501	8.82470103089776	12.4664179504723	14.4843023859212	15.6458231933688
AT1G23310.1	0	1	1	-2.90605336167373	-1.86296911752807	-0.256286990923338	16.9085952420458	17.6640691909416	18.1958919807922
AT1G24360.1	0	1	1	-0.898417780351578	-0.65679832823969	-0.450345326647515	16.1240687608785	16.1910233085808	16.3250501377627
AT1G26630.1	0.208	1	1	2.28480154833091	4.87308464953055	8.5164296699645	12.5633693160366	14.4152514005106	15.6963691479064
AT1G29670.2	0	1	1	-0.468497464634174	-0.150270947387394	0.185614117939093	16.2653171545165	16.460474406792	16.6201183547832
AT1G30230.2	0	1	1	-3.32513426218177	-2.10669055607435	-0.276378075441721	16.6656072363548	17.5829886227317	18.2006626104429
AT1G31330.1	0	1	1	-2.10162861394802	-1.54109697020818	-0.978824870860358	17.440073338557	17.7017966593707	17.9822624862415
AT1G32060.1	0	1	1	-3.262544016956	-2.15120506126347	-0.847378577291195	16.7382507767932	17.3902425631693	17.9262662576156
AT1G32360.1	0.629	1.51417147804719e-16	6.66235450340762e-15	5.31901838117642	7.87581312716325	11.4356425614844	14.0356247144433	15.8211926401292	17.102309166808
