protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G01080.2	0.42375141672727	0.827116167357696	-0.32469929293523	0.869082636854564	2.28744714514432	12.9175030644994	13.7368049745455	14.0899284349312
AT1G01320.1	0.531373152177122	0.834347056669751	0.521526521906838	0.521526521906837	0.521526521906837	15.953178142331	15.953178142331	15.953178142331
AT1G02500.1	0.412298033413867	0.826038140178114	0.789477310612246	0.789477310612246	0.789477310612246	17.2650076322913	17.2650076322913	17.2650076322913
AT1G02780.1	0.300924001551826	0.821402232129927	1.00114209807383	1.09364802496204	2.203892360696	15.7485196455178	16.3036418133848	16.3498947768289
AT1G03130.1	0.307811991072638	0.821402232129927	1.80049051193929	2.18694602042115	2.35321780751562	13.7769125193664	14.1945720949553	14.4313080954069
AT1G03220.1	0.305506451890087	0.821402232129927	-1.562840472729	-0.918381642796331	-0.709105269398963	14.1560248643815	14.2594513978263	14.6646999599804
AT1G03230.1	0.83836366636533	0.903587405114814	-0.191816365571419	-0.191816365571419	-0.191816365571419	16.7283021348389	16.7283021348389	16.7283021348389
AT1G04080.3	0.186553050753397	0.821402232129927	-2.56393064429134	-0.7009367266379	2.20353393840901	12.8151995424492	12.9876092339483	13.5731052514503
AT1G04170.1	0.453330085636634	0.834347056669751	0.293563219343025	0.436549986666866	1.47413934930341	13.9028365812841	14.0727693957086	14.409754036782
AT1G04410.1	0.680781839753582	0.852741961512368	0.351785351836822	0.351785351836822	0.351785351836822	16.1450704209032	16.1450704209032	16.1450704209032
AT1G04510.1	0.186531103398257	0.821402232129927	1.1850104136184	1.65816396082398	1.9558980681717	15.3087688597331	15.457635913407	15.6942126870098
AT1G05190.1	0.209197360517225	0.821402232129927	0.478270545621094	2.85913438354686	4.86331299481644	13.2926886333868	14.3159146954508	15.339551155778
AT1G06220.1	0.377572287635711	0.821402232129927	0.436990673424783	1.31997079719666	2.75776925084889	14.2098570121809	14.928756239007	15.3702463008929
AT1G06680.1	0.375969792888133	0.821402232129927	0.911574128301994	1.7784206416621	2.1902026058503	12.5976479334274	12.9906670997528	13.590755156821
AT1G07320.1	0.608828886126263	0.835789643116255	0.217112488727183	0.48903276897748	1.93626212344774	12.7527308134148	13.2951096791846	14.3948895918664
AT1G07360.1	0.0109100434577744	0.659917456808305	3.0062151867894	4.22389821196174	5.76490718671776	13.1172888608359	13.8877933482139	14.4966348608001
AT1G07790.1	0.683744423262036	0.852741961512368	-1.10638792977314	-0.915481402985598	0.122294252467708	13.6967331920495	13.7016315962831	13.9530821946706
AT1G07890.1	0.790055017361626	0.882074072722327	-0.432868131083438	0.15220640887435	0.405059142161012	13.4319291073029	13.5127445782092	13.6737828956191
AT1G09100.1	0.366936609727278	0.821402232129927	-1.3242675528814	-1.24961163426276	1.14083959687086	13.595351928797	14.0350485061221	14.0806982812613
AT1G09270.1	0.401636077239585	0.826038140178114	0.298571077537178	1.26973830902383	1.27653548895843	13.6828712828156	14.1173601609086	14.4246011361983
AT1G09340.2	0.96655012749501	0.975134054026938	-0.046322380358256	-0.046322380358256	-0.046322380358256	17.0441695604872	17.0441695604872	17.0441695604872
AT1G09760.1	0.414824792119945	0.826038140178114	0.467271950666377	1.15991303345191	1.55011615390724	12.7331882981455	13.2129265517902	13.8393051547425
AT1G09770.1	0.122072322890696	0.821402232129927	2.2845362631464	2.3850381081021	2.89249115186469	13.1378293415355	13.7298925540613	13.9450593831745
AT1G10390.1	0.756542536015355	0.871635213908158	-0.438427483063262	0.217873873519693	0.380025935821324	12.9898548037396	13.7838235849572	13.810245327887
AT1G10960.1	0.336046578668385	0.821402232129927	0.433814978224128	1.30201303389231	1.86482607946178	12.8114522149891	13.2191474756326	14.1732556926901
