protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G01320.1	0	1	1	0.164983557517167	0.402363085123474	0.734594451125302	16.0454229566936	16.1515813002063	16.3133174027266
AT1G01960.1	0.856	4.01093712360094e-124	5.74224036302869e-123	1.48160674481969	2.52508481739891	4.04547420665334	13.912959253922	14.6742465636648	15.1875869216539
AT1G02500.1	0	1	1	0.431602595772235	0.461386736527071	0.486837424112113	18.0882637388974	18.090138437243	18.0923377915715
AT1G02780.1	0	1	1	0.878346697189086	0.908130837943925	0.933581525528963	18.6511646883793	18.6530393867249	18.6552387410534
AT1G02840.1	0	1	1	0.527967765538842	0.557751906293679	0.58320259387872	16.5934378897446	16.5953125880902	16.5975119424187
AT1G02920.1	0	1	1	-0.0781339832125666	0.0189674441725182	0.130800790893099	17.5605439747323	17.6134837283689	17.6561308679119
AT1G02980.1	0	1	1	0.0336405391984259	0.145956502937023	0.257996926836087	15.8377656233481	15.8854729661744	15.944449897922
AT1G03130.1	0	1	1	-0.728676789207364	-0.414246867514598	-0.151322779206883	16.7970630751692	16.9466423596517	17.0830163195824
AT1G03140.1	0	1	1	0.00341390530972828	0.0840959306817117	0.128965105074394	16.4083493331717	16.4481466562105	16.4662797448992
AT1G03220.1	0	1	1	-0.595167590152055	-0.565383449397216	-0.539932761812175	17.428569442711	17.4304441410566	17.4326434953851
AT1G03230.1	0	1	1	-0.428810860119201	-0.399026719364363	-0.373576031779321	18.1318424769085	18.1337171752541	18.1359165295826
AT1G03280.1	0.627	4.36282563385084e-16	3.65507836435948e-15	-4.01562112008724	-2.32321514209255	-1.26277626340309	13.7792622078771	14.6244801643323	15.1553597760778
AT1G04110.1	0.467	0.982969250346674	1	-3.5201884411511	-2.01664504006096	-0.958106957607984	13.6691217131704	14.4194019941335	14.9447347626816
AT1G04170.1	0	1	1	0.107705828537041	0.13748996929188	0.162940656876919	17.2818835868703	17.2837582852159	17.2859576395445
AT1G04240.2	0.966	1.85763644908547e-238	6.00281949690189e-237	2.34947064791066	3.27146072918194	4.78311300028958	14.2834840473134	15.0343155668653	15.531514837931
AT1G04410.1	0	1	1	0.835508585908817	0.900646099613596	0.979974165490522	16.8907562121429	16.9188646830954	16.9575908980583
AT1G04510.1	0	1	1	-0.181463629769397	-0.151679489014557	-0.126228801429517	18.4253959039695	18.4272706023151	18.4294699566437
AT1G04850.1	0	1	1	0.492955954853033	0.522740095607873	0.548190783192912	16.2865775111076	16.2884522094532	16.2906515637817
AT1G05190.1	0.013	1	1	0.364881518844498	0.865941826167027	1.06364010886559	16.4965041839221	16.5761018246314	16.8104892400637
AT1G05520.1	0	1	1	0.056437624612523	0.262189763756068	0.467360294260906	15.5802349511413	15.673156930814	15.7758223284146
AT1G05890.2	0.804	3.05356433310515e-88	3.83731251193547e-87	-4.31257910556788	-2.74181164432508	-1.65701585984585	13.9762474272142	14.8171039450673	15.3673282413098
AT1G06220.1	0	1	1	0.107269384482313	0.312835181043978	0.397028534473355	16.0843743408871	16.180312943086	16.2225332171259
AT1G06290.1	0.377	0.999999999999998	1	-3.73744457726796	-1.99571727419077	-0.800126267060566	13.6028803157077	14.4615457813712	15.1324279305184
AT1G06410.1	0	1	1	-0.281589474575423	-0.158065424562311	-0.0531967679942761	15.8505222646386	15.9129843579742	15.9607162866751
AT1G06550.1	0	1	1	-0.602297284738977	-0.3650879403685	-0.1232075397019	15.9806648258782	16.0997073675205	16.2153935813181
AT1G06620.1	0.873	8.46810205007084e-138	1.31197581077125e-136	1.65807408261949	2.62017387032013	4.32611715668865	13.9465168335684	14.7132683784027	15.2327376377431
AT1G06950.1	0	1	1	-0.508851630199866	-0.214855568340188	0.568214929700933	15.3514184713517	15.7046656677644	16.0800899009087
AT1G07360.1	0	1	1	-0.446785187170122	-0.417001046415283	-0.391550358830242	17.5737630813991	17.5756377797447	17.5778371340733
AT1G07890.1	0	1	1	0.312979389275937	0.448227573565638	0.532465976742284	16.373888969884	16.4190823877583	16.4787947947314
AT1G08250.1	0	1	1	-0.130121452536097	0.195028058906254	0.445693390313734	15.7342738995261	15.8577164341824	16.0187244350155
AT1G08360.1	0	1	1	0.274436260220185	0.367345130712124	0.478718826706551	17.2385641866491	17.2840634370156	17.335139441622
AT1G08450.1	0	1	1	-0.116378330278054	0.0191384884901801	0.127345838454145	16.1846492899941	16.2558662114399	16.3137942876803
AT1G09020.1	0	1	1	0.0627324215228899	0.662667489208083	1.00936727787609	15.6703177111922	15.9725351698207	16.1431439028266
AT1G09270.1	0	1	1	-0.93858817073531	-0.824895582877197	-0.7440281566571	16.7908130884753	16.8420138962699	16.8820380603446
AT1G09340.2	0	1	1	-0.0917885605301075	-0.0620044197752692	-0.0365537321902251	16.1798806194984	16.181755317844	16.1839546721725
