protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G01900.1	0.256772413825013	0.630475034561108	-0.999438536430315	1.45857215069244	3.77536847059691	13.8917172827016	14.4691146433107	15.2183133425034
AT1G02500.1	0.410881101317756	0.650301805405598	0.886260472875468	1.84791893138514	2.56678522152799	16.2533460332777	17.1658465686576	17.4725242626823
AT1G02780.1	0.710520239659532	0.778839493472948	-0.213349246210364	0.391852242980192	1.56170793226312	18.1928500536797	18.3794419060489	18.8829089397396
AT1G02840.1	0.514811632630495	0.673474889900221	-0.879013125497507	0.898349061595564	2.33203311271305	14.8411145274108	15.6220957555281	16.5930919015729
AT1G03130.1	0.00595477877661952	0.206509130614671	-5.99767599377846	-4.68296455032004	-2.35104737310038	15.2467394486123	15.9040951703415	17.0700537589513
AT1G03140.1	0.0576174440794416	0.452155753978892	0.351112063907201	3.53728910643254	3.77948778968458	13.5882027819021	15.1776801799784	16.2130766960476
AT1G03230.1	0.445362985540688	0.661943209153042	-3.42610295141269	0.679234989222697	1.66050294367151	14.5672677773155	15.6644352013499	16.686845184083
AT1G03880.1	0.578061775540981	0.702951583201673	-0.958977278978495	0.018599157118574	1.5870096502092	13.4221191752019	14.5991368352734	15.3072514099146
AT1G03910.2	0.298413167457933	0.642007445497283	-1.18841803467232	0.424465334804036	4.775442593992	14.7085838103671	16.0915551384237	17.0862486340777
AT1G04080.3	0.534471224201148	0.683751800165243	-1.77887714258232	-0.321317577054927	1.28740914741811	14.8921631078319	15.4954160706021	16.4718793323671
AT1G04170.1	0.365363555508384	0.650301805405598	-0.565246027583421	1.40013451556707	1.73661037769022	14.1566159923145	14.339062457403	15.2270033155631
AT1G04270.1	0.857703338511635	0.879752267522217	-0.254849245226442	-0.254849245226442	-0.254849245226442	19.6599236674816	19.6599236674816	19.6599236674816
AT1G04410.1	0.13817434275537	0.545857057023688	-3.47236572998144	-2.01129089200513	-1.47607513283132	16.9311123041757	17.6616497231638	17.9292576027507
AT1G04510.1	0.172256454873626	0.56336332372604	1.95801049733968	2.1594404561736	2.93539454767764	15.876786277743	16.6192136185522	16.6973585423429
AT1G05190.1	0.75516719681887	0.805646287515319	-1.43868076281462	-0.269154847985225	0.986488107761904	16.4957085000337	17.3469457784886	18.0103738525144
AT1G06220.1	0.236972847452768	0.606103629061887	-0.0948162776745302	1.9254978481265	3.24185385391947	15.5536724355386	15.9732239588712	16.1476436110155
AT1G06680.1	0.718773921163573	0.7839559941305	-1.35109193194463	-0.612299201207453	0.382862453243205	14.6155064841429	16.0123015275382	16.2730696006521
AT1G06960.1	6.60879748463242e-05	0.0527382039273667	9.61417522400437	11.5968379309803	12.5977799244521	18.7932858441079	19.2937568408438	20.2850881943318
AT1G07320.1	0.0484774472193662	0.452155753978892	-4.78699838302196	-2.91796108726753	-0.873475198216519	15.2465877770035	15.3639857801252	16.7229562700476
AT1G07360.1	0.00822246404399006	0.206509130614671	3.37724913730739	4.89157204220722	5.13477206617425	17.2141165403096	17.3357165522931	18.092878004743
AT1G07790.1	0.864274727339269	0.884219528739406	-0.246914640075984	0.376055254129538	0.792280781210759	14.8225902720808	16.1106789650176	17.4476445464236
AT1G08520.1	0.39975551197579	0.650301805405598	-0.747775227185158	0.582444680012875	3.88343871799403	13.6315773024454	13.8402440802249	14.4457952919498
AT1G09270.1	0.604031886623771	0.715359504044167	-0.264245411140304	0.561840262741014	1.50880632417896	13.2260668368597	14.4150663653663	15.6132307708279
AT1G09340.2	0.352474929460439	0.650301805405598	-3.14672494608934	-1.20073171017835	-0.934339779590871	17.8095453858785	18.782542003834	18.9157379691278
AT1G09760.1	0.00867254371732638	0.206509130614671	6.83009611607506	7.95683710299607	9.45086352261728	20.6997838160322	21.4467970258429	22.0101675193034
AT1G09770.1	0.00305381126285181	0.206509130614671	3.58309207026896	5.54624233748334	7.05396731365357	15.8604516509477	16.6143141390329	17.59588927264
AT1G10200.1	0.0313886254379332	0.397589255547154	1.38286728437361	1.48941837505472	4.84033189314897	13.713972212153	14.6275410530217	15.1455346336901
AT1G10580.1	0.00132216201799616	0.206509130614671	5.429459529817	7.05874838652196	9.83040373281763	16.1885441641764	17.5743718373243	18.3890162656767
AT1G11650.2	0.472047849306899	0.664754063695978	-1.10752033553015	0.619021326671277	3.00400539149556	13.9029083599784	14.6578203119123	15.3224886001319
AT1G11860.3	0.064322386416672	0.452155753978892	-3.98986413876	-3.42889348773644	-2.91630400253785	17.0657750449998	17.3462603705115	17.6025551131108
AT1G12070.1	0.0343760500228397	0.404229498912586	-5.0358318858964	-2.63355516136985	-1.82046338750478	14.7466028820713	15.9099470346745	16.4010376017395
AT1G12900.5	0.453429553801686	0.661947961591723	-1.75703805334737	-1.01880513128907	-0.782736567462226	18.1545676096421	18.5236840706713	18.6417183525847
AT1G13030.1	0.0224045714123732	0.325069963401341	2.57738110686526	3.60197721015051	5.28813058880778	16.6827193551066	17.5257960444353	18.0380940960779
AT1G13190.1	0.192917826370962	0.581611458144042	-0.535478709312266	0.831987455400206	2.88172193752777	14.2500588102643	14.557287734895	15.3548987440761
AT1G13690.1	0.0487057808749926	0.452155753978892	2.92160809017775	3.6366209400687	4.90343879245456	16.7327614642703	17.3661703904633	17.7236768154088
AT1G14320.1	0.649514988700437	0.747926350624745	-1.29340391856266	0.656934888045594	1.48532741197807	16.9864956459504	17.8482718876403	18.2951096036229
AT1G14410.1	0.362827354301847	0.650301805405598	-1.67622881713102	-0.191171247766968	2.10380219044972	13.2749432321387	14.7062272481018	15.9408628599165
AT1G14510.1	0.062109072909731	0.452155753978892	1.85863288757316	3.33132751654096	5.69086699871759	15.9900036359736	17.169773377062	17.9061206915459
AT1G14650.1	0.0162209846469822	0.275411611665782	4.01089822614052	4.63576558854313	5.91039954036763	17.0068108016043	17.6441277775166	17.9565614587179
AT1G14850.1	0.255298288652172	0.628790229458126	-1.74556581188742	0.979448631435117	3.1760566480892	13.4044367237185	14.039566475226	15.211037772942
AT1G15200.3	0.201828850634211	0.585670628385821	0.851878508135216	2.53312779368372	3.01213379866955	14.7395706221726	15.3467911878466	16.0750983992932
AT1G15340.1	0.0383616808402408	0.416093746633706	-4.41460138015764	-0.725693939408618	0.945712079306958	13.91846047577	14.5415389456685	15.1317919578748
AT1G15750.1	0.168513170451537	0.562670548485781	-0.62175217413129	2.11476737892683	3.2391406266242	14.9214048102829	16.0153434235198	16.54910994498
AT1G15820.1	0.0401493966050067	0.416093746633706	-5.43460065122293	-3.55320656718435	-2.57325916796665	14.3663007183052	15.1884005325071	16.1228576346727
AT1G16610.3	0.432484998070602	0.661155226935517	0.712125330722535	1.7637000871388	2.38926351652926	15.8950696855279	15.9925464498945	17.0220081752988
AT1G17070.1	0.132306827041273	0.530557025019779	0.183597538632656	2.1310282632359	3.54189831673851	14.8677926390102	15.3607824425934	16.098307306055
AT1G17370.1	0.088360333642971	0.482955796212951	-3.97083030573071	-1.3440037141518	0.643993353313168	12.4875028003976	14.0133155143328	14.8162009800915
AT1G17760.1	0.299281666322042	0.642007445497283	0.320880080749059	1.41213210479327	2.51227646335416	13.0158340998155	14.3491462209537	14.7695330842554
AT1G17860.1	0.235209840090726	0.605475652878708	-2.71683620430025	-2.10223908452508	-1.38209065536935	16.1893609349485	16.4966594948361	16.856733709414
AT1G17880.1	0.349893493310605	0.650301805405598	-2.83534463303836	-0.890060901398863	0.0825859218914427	14.8307003113405	15.7584515591195	16.3624249093352
AT1G18080.1	0.563719321788978	0.696627859483362	-0.16295317193635	0.533331906168976	1.84091939594104	16.3378768468915	16.8005396358831	17.1803504395451
AT1G18450.1	0.56742870759923	0.696627859483362	-0.242164111956256	1.0564259480259	1.44556231021064	14.9650147271164	15.5937170930205	16.0520945937397
AT1G18540.1	0.458233088439899	0.66257760501012	-1.82351013255162	-1.32773386123159	-0.0751335716657197	13.9877587104898	14.7635520965077	15.669904258342
AT1G19860.2	0.302790270343602	0.644182715099557	-2.36846176231439	-1.65401557034228	0.536825052877693	13.4917141242471	14.1016409265051	14.932853194091
AT1G20010.1	0.353953624663293	0.650301805405598	-3.30256390516302	-0.920530448243502	1.14503959385826	15.1330739090936	16.0337223687279	16.7672469848395
AT1G20110.1	0.335888504878731	0.650301805405598	-0.131203611052755	1.34508439833927	3.30737380264803	12.5031502514814	13.363678050879	13.7878248356229
AT1G20200.1	0.265454091986307	0.636605364413834	-2.89035372714419	0.994680580335041	2.37105787126972	14.2923035060132	14.8895459493395	15.4450553805196
AT1G20580.1	0.0089944356637009	0.206509130614671	5.35765356663632	7.16468724090715	7.82239339402076	19.1698457741778	19.4986988507346	20.40221568787
AT1G20620.6	0.26896291129911	0.636605364413834	-1.49658698674976	-1.49658698674976	-1.49658698674976	19.7694059615439	19.7694059615439	19.7694059615439
AT1G20696.2	0.199248940809703	0.584247920071038	1.71485868053722	1.97133102423945	4.27002573291759	16.2566633318864	17.4060106862254	17.5342468580765
AT1G20920.1	0.106900895706276	0.517011604688535	1.37842857947513	2.07553926643776	4.19808158159132	15.6291900484303	16.6904612060071	17.0390165494884
AT1G20960.1	0.0387962060506971	0.416093746633706	2.24963616750075	3.85830878584947	6.2622384643698	16.2809495740183	17.4829144132784	18.2872507224528
AT1G21650.3	0.490568706897777	0.667214748221639	-0.680420076232486	0.0449349330486575	2.89229688493681	13.8889327453683	14.7150354903225	16.5580533430001
AT1G22330.1	0.527822762263139	0.680456485114676	-0.123975725312807	0.654128132902644	1.7639853713412	14.1956018581141	14.620643433904	15.3579083873563
AT1G23290.1	0.550219729804105	0.694739468961512	-1.77661060031643	-1.17933818953939	0.0997996024080492	14.7009822954486	16.4045400034203	16.8367653741807
AT1G23310.1	0.223055218527372	0.604360757884348	-3.05709683330834	-1.89704893097206	-0.774965913057042	16.1204129816816	16.7004369328498	17.2614784418073
AT1G23860.1	0.314320278198203	0.648133286827303	1.17243453844946	2.23986348678721	4.01273628285608	18.5847437213014	19.4711801193359	20.0048945935048
AT1G24510.1	0.562115876444032	0.696627859483362	-1.47264883998428	-0.590240190223731	1.73212556296889	14.311359639735	14.6511307236172	15.261580233122
AT1G24706.2	0.317334927677536	0.649077115815071	-0.448652531812142	0.987788824052786	2.42741034628837	13.0119462983695	13.8885321945411	15.2554645823064
AT1G26110.1	0.548202467730105	0.694389792458133	-1.28681975432934	1.13630140986029	1.50372232793672	14.9065338051666	14.9997976920394	16.2456092578777
AT1G26630.1	0.425126036059096	0.657462358091393	-2.68527549676843	-1.37922839282422	0.548250773803181	17.0196285376399	17.6171238789863	18.134447412227
AT1G27090.1	0.527070615612432	0.680456485114676	-1.94256873982282	-0.98765949850095	0.734769863857543	14.0572641313541	14.2607941513983	15.1423444741158
AT1G27595.1	0.364149128612277	0.650301805405598	-1.44733780073094	-0.593646051160063	2.27163971162232	12.1818999914783	13.6736156760888	14.4603804319345
AT1G27900.1	0.113113771821638	0.529018486748834	1.30097598567757	2.27377113043612	3.3504698692414	14.8484646963383	15.6734399016645	15.7137267795776
AT1G28060.1	0.0189550833643798	0.290887625476444	2.7226682677523	4.53775919831523	5.19506655390468	15.0980192986705	15.4266729764652	16.3342184417467
AT1G28290.1	0.0179349247856102	0.288355501732557	3.05861193020613	4.08000830045862	5.59525063233645	15.4286372523757	16.1862584183146	16.6969566034409
AT1G30230.2	0.431828283133629	0.661155226935517	-3.07329420744146	-0.629369830565771	0.828772341355098	13.8077897909523	14.8708407933977	15.302442973026
AT1G31330.1	0.44385583465214	0.661943209153042	-3.04576175855928	-1.18065119851105	0.595302527232754	15.3088740848275	16.077623073008	16.9875185809819
AT1G31710.1	0.0394032608762101	0.416093746633706	2.86669722699768	3.9922052015309	4.41460769799983	14.3110804269525	15.0310070832224	15.3861943447044
AT1G31970.1	0.116867919918356	0.530179625623467	-1.56239250422919	-0.567309764948299	4.10365051774083	14.3271499888565	15.1688207277592	15.7672833952882
AT1G32060.1	0.0823146155541841	0.47256880008805	-4.01103385455734	-3.56077229068871	0.496127585108328	13.8383924619482	15.4977516025703	16.9109944539221
AT1G32130.1	0.454570780641935	0.661947961591723	-1.86564834317066	0.382230373286407	2.36300797065113	13.1576671927993	14.2259466912759	16.2770407425916
AT1G32360.1	0.177045455481969	0.566586259363953	-3.14258124610874	-0.847752420002409	2.76326131651938	13.5603913331256	14.534704077757	15.2238855599178
AT1G32490.1	0.0697507082897056	0.457628770703961	2.0300790921666	2.70091011912272	3.72159092515973	14.3793917480669	15.8532265307709	16.0287850707655
AT1G32990.1	0.464292569834861	0.6640839206912	-1.58852471065435	-1.04862894324325	1.60573743008561	14.3666874857855	14.5308779538907	15.2085379129154
AT1G33140.1	0.51210697118212	0.673205752596687	-0.980763487835664	-0.980763487835664	-0.980763487835664	19.4169519254531	19.4169519254531	19.4169519254531
AT1G33590.2	0.95500837838286	0.961029868788805	0.0759341950237969	0.0759341950237969	0.0759341950237969	17.9929938602692	17.9929938602692	17.9929938602692
AT1G33680.1	0.0685006182542876	0.455529111391012	1.00433309246963	2.67019248280115	4.24513005339134	15.410890114309	15.7553709293888	16.5883268341172
AT1G33811.1	0.280498267911961	0.641206760960776	-1.96665762749559	-1.7373785710303	1.6929958665674	13.5405926740056	14.5878199532077	15.4062298011237
AT1G35680.1	0.465104677155649	0.6640839206912	-1.95074559816572	-1.2316959691982	0.225795472522106	13.5207371552334	14.6723748917062	15.2641188751377
AT1G41830.1	0.207641513681665	0.587581304673647	1.03373095649863	2.4794496860157	2.81123733383817	15.6880558631028	16.6185098815733	17.1266675031211
AT1G41880.1	0.708047003219861	0.778266540729268	-1.16094460960015	0.562597670005684	1.24250820477667	14.8584694589284	15.7835553799938	16.3611309570398
AT1G42970.1	0.458324358352865	0.66257760501012	-1.01755117509314	-1.01755117509314	-1.01755117509314	21.2213945899858	21.2213945899858	21.2213945899858
AT1G43170.1	0.945483611396135	0.952646366027924	0.107319276946596	0.107319276946596	0.107319276946596	19.2742283180717	19.2742283180717	19.2742283180717
AT1G43190.1	0.197660730458413	0.584247920071038	1.54420621154206	1.76882841140656	2.29755043376574	14.8479275822699	15.6648386282116	16.2618895235073
AT1G43850.1	0.388550167680992	0.650301805405598	0.126397629800418	0.561615680341199	2.06776847622152	14.3914334133477	14.7341017032802	15.6402630022961
AT1G44910.1	0.249930599587466	0.626449334459846	0.438284318790351	1.73132266053988	3.10220290314662	15.0287196117154	15.702309246918	16.2368778803299
AT1G47128.1	0.243278574579459	0.612417358089615	-3.78714744638736	-1.9038405717635	0.454561184266139	15.3177132725255	16.5081428621567	16.8407420880174
AT1G48030.1	0.0650411255179432	0.452155753978892	-3.95030405651944	-1.52880034661941	0.912993000908214	15.3160388323047	15.4295296080815	16.1188524174818
AT1G48350.1	0.226918251214011	0.604360757884348	-2.7049160741119	-2.41038641342698	-0.545762318824147	14.0126122931197	14.2751139151687	15.7572205231369
AT1G48410.2	0.149362374194506	0.562670548485781	-2.58321938611759	-0.737240823441154	3.98025923414301	12.9979154829821	14.552306888875	15.3147463119239
AT1G48610.1	0.532384986241029	0.683593132432574	0.593308432086481	1.09219246817957	2.18088194103615	15.7795354885839	16.1357483142834	16.4603116806887
AT1G48620.1	0.774170791363455	0.814393731812336	-0.39479827690029	0.460193971808883	0.882378861666309	16.1681761014318	17.4238211902371	17.611193314068
AT1G48830.1	0.351364120326702	0.650301805405598	-1.6617022699812	2.07955345648035	3.30749488190458	15.7933079471052	16.8440086932545	17.1040516061127
AT1G48920.1	0.357647767797936	0.650301805405598	0.920615171602391	1.85052059562251	2.11618813613901	17.861767822755	17.9946015930133	18.4595543050234
AT1G49760.1	0.164201029862442	0.562670548485781	0.562686348048203	2.22313757968394	3.7431085203173	15.1231165770857	15.8179082167003	16.6105541879538
AT1G51060.1	0.382058858926287	0.650301805405598	0.753649768076722	1.8618464219446	2.85543585241426	17.5555012020849	17.9411590096892	18.4665376447522
AT1G51580.1	0.252711920056814	0.626449334459846	-2.31145722332341	-1.6693361898556	1.75439779836812	13.5527850661257	13.7229438666039	15.4914658385091
AT1G51710.1	0.454413958996185	0.661947961591723	-2.1643726950891	-0.564616617483795	0.860693476848556	13.2339356525264	14.0886013451152	14.541194223725
AT1G51980.1	0.15947712048916	0.562670548485781	-4.14480676985659	-0.0140223949966889	0.811247588404368	14.0714937649079	14.2536025400071	15.1559991974514
AT1G52100.1	0.212319594697596	0.594167373685455	-3.10394231773093	-1.0189375781185	2.19839775308264	14.0893088879484	14.3936201863543	15.3675705941391
AT1G52400.1	0.116229209800894	0.530179625623467	-3.6072198649196	-2.77172070945919	-0.598003328647012	14.1113639387409	14.6211372588244	16.1391606450975
AT1G52740.1	0.505565905893493	0.672146099284107	-1.54040344196136	0.799472536292825	2.7127444665515	16.1345761264027	16.2819398033201	17.5665613603491
AT1G53240.1	0.00754897572388537	0.206509130614671	-5.75631660889231	-2.85803060150123	0.284274929618164	14.6027035439294	15.1186294409431	15.5294955000132
AT1G53720.1	0.00486332668348021	0.206509130614671	2.96326042462063	3.63877907389864	5.52702010161595	15.5494090338179	16.4935295476765	16.8312888723155
AT1G54000.1	0.243093279722092	0.612417358089615	-3.23779516557996	-1.35400627832708	-1.1368417437973	13.5908955949366	15.2277322411403	15.888827315796
AT1G54010.1	0.0657269015808916	0.452155753978892	-5.11916629578778	-3.80936963711264	-2.97913612606404	18.2264250773429	18.8813234066804	19.2964401622047
AT1G54080.2	0.494252879248676	0.669270629358645	-1.82776762827965	-0.702863909293416	0.980861753052534	12.5848691726052	13.3226070186664	14.004833943616
AT1G54270.1	0.827702551225198	0.856688243680555	0.292382846014255	0.292382846014255	0.292382846014255	20.0879455171452	20.0879455171452	20.0879455171452
AT1G54690.1	0.664599356297393	0.75333847489392	0.615691346060733	0.615691346060733	0.615691346060733	19.7994408665675	19.7994408665675	19.7994408665675
AT1G55150.2	0.517197874677116	0.675489204570112	0.538156193022444	1.00368153971041	1.63272546325603	14.4239424177333	15.3692800346559	15.8624765633761
AT1G55170.1	0.532825724778272	0.683593132432574	-0.744082057035765	-0.513917753421113	1.49665531234373	13.0781964848052	13.8785237017193	14.6188229343973
AT1G55310.3	0.412737086402905	0.650301805405598	-1.91694753856927	-1.02016198364881	-0.364580470886168	14.5592643856709	14.6700037642724	15.9532416587456
AT1G55490.1	0.318844898996877	0.649077115815071	-2.87699874868154	-1.58821932922199	-0.687096905085011	16.7499201352398	17.3943098449696	17.844871057038
AT1G56070.1	0.75739581493623	0.805869147092149	-0.408661481121255	-0.408661481121255	-0.408661481121255	19.7759536160422	19.7759536160422	19.7759536160422
AT1G56110.1	0.148717192205923	0.562670548485781	2.13618408455981	2.52706678581715	3.34667123385183	18.1944568080465	18.6042590320639	18.7997003826925
AT1G56290.1	0.00548950981905283	0.206509130614671	4.46182487558372	5.16247726376976	5.88011346929487	15.5542379788541	15.9130560816166	16.2633822757096
AT1G57720.1	0.11244870125318	0.529018486748834	-3.38249303492692	-2.86406859067045	-0.948356410677094	14.719649618473	15.0625211108593	16.1309807732297
AT1G57860.1	0.524949998136584	0.678946675061578	-1.3269273746005	0.399610922910157	2.91962462747599	15.6953261835277	16.3290409726858	16.8812350271531
AT1G58270.1	0.104186821431588	0.514612780803888	-4.42654177954181	-0.360873881260729	1.81157421918917	13.1155505490582	14.7124729193087	15.6927479043227
AT1G59359.1	0.358432957860229	0.650301805405598	-3.28088604770464	-0.43165887321894	0.784047365394335	13.7554507101004	14.9603755358814	16.0085718177043
AT1G60170.1	0.354613360790492	0.650301805405598	-2.12981250198452	-0.0058800216494667	2.177257335621	12.4182743520043	13.8161076439163	14.9238442527051
AT1G60200.1	0.102664465370081	0.514612780803888	1.11995648404934	1.71520931934894	3.90904085607698	13.1602114591014	14.04177949951	15.7186733410245
AT1G60650.1	0.468677022055706	0.664473221240552	-1.30864582771727	0.206216701266503	2.48058508061051	13.0724686006704	14.4115148153011	15.1498270298535
AT1G60900.1	0.200211320594478	0.584247920071038	1.28633526636791	2.66534687807842	3.62440953181734	14.5609607084959	15.5880698557825	16.745436338404
AT1G61010.1	0.296785365056263	0.642007445497283	-0.408944757467684	0.332408346585778	3.31796383057955	13.6911767413323	14.6736916264451	15.4196646825574
AT1G61520.1	0.122477788256106	0.530557025019779	-3.4867876812419	-2.68365819745431	-1.80101628804618	15.3849406407442	15.6868171293206	16.6538789490241
